# Formato: ESTADO | origen | offset/línea | función/clase | string sanitizada | interpretación
# Deducción estática; no se contactó ningún host. El segmento opaco de la base Artemis está redactado.

CONFIRMED_USED | libapp.so | +0x0c0618 | ApiClient | https://artemis.clubsanjorge.com.ar/api/stream/<STREAM_KEY_REDACTED>/media | base API Artemis hardcodeada
CONFIRMED_USED | contrato_bloc.dart AOT | 0x574a1c-0x574ddc | payment body | article_id / amount / first_name / last_name / identification_type / identification_number / email | claves exactas
CONFIRMED_USED | contrato_bloc.dart AOT | 0x574a1c-0x574ddc | payment body | DNI | tipo de identificación constante
CONFIRMED_USED | contrato_bloc.dart AOT | 0x574a1c-0x574ddc | payment response | redirect | URL dinámica cargada en WebView
CONFIRMED_USED | payment WebView AOT | 0x604cd8 | URL path matcher | /capitalizacion-y-ahorro/productores/pago/exito | éxito por path
CONFIRMED_USED | payment WebView AOT | 0x604d78 | URL path matcher | /capitalizacion-y-ahorro/productores/pago/fallo | fallo por path
INDIRECT_REFERENCE | libapp.so | +0x072dc6 | DebugScreen | test-san-jorge.pantheonsite.io | host dentro de URI custom de prueba, no HTTP
INDIRECT_REFERENCE | DebugScreen AOT | 0x606474-0x6064a8 | debug payment | csjcapapp://test-san-jorge.pantheonsite.io/capitalizacion-y-ahorro/productores/pago/exito | URI artificial para probar navegación local
CONFIRMED_USED | ApiClient AOT | 0x54a400 | ApiClient.get | get | concatenación base+path y Dio.get
CONFIRMED_USED | ApiClient AOT | 0x570e80 | ApiClient.post | post | concatenación base+path y Dio.post
CONFIRMED_USED | ApiClient AOT | 0x54a53c | handleResponse | 200 / 201 | únicos status devueltos por ApiClient
CONFIRMED_USED | ApiClient AOT | 0x54a53c | handleResponse | 302 / 400 / 401 / 405 / 422 | ramas; no-2xx normalmente preemptados por Dio
CONFIRMED_USED | SessionService AOT | 0x57ae90 | _initRemoteConfig | session_timeout_minutes | única clave Remote Config de negocio hallada
CONFIRMED_USED | SessionService AOT | 0x57ae9c | _initRemoteConfig | 120 | default local en minutos
CONFIRMED_USED | Firebase SDK Java | ConfigFetchHttpClient.java:92 | Remote Config | https://firebaseremoteconfig.googleapis.com/v1/projects/{project}/namespaces/{namespace}:fetch | endpoint SDK
INDIRECT_REFERENCE | Firebase SDK Java | B3/n.java:118 | Remote Config realtime | https://firebaseremoteconfigrealtime.googleapis.com/v1/projects/{project}/namespaces/{namespace}:streamFetchInvalidations | plantilla SDK, suscripción no confirmada
CONFIRMED_USED | Firebase SDK Java | W2/c.java:22 | Installations | https://firebaseinstallations.googleapis.com/v1/ | servicio técnico Firebase
INDIRECT_REFERENCE | Firebase resources | configuración | Firebase | club-cya.firebasestorage.app | bucket configurado sin plugin/call site Storage
CONFIRMED_USED | AndroidManifest | aapt line 11 | permission | android.permission.INTERNET | permiso de red
CONFIRMED_USED | AndroidManifest | aapt line 37 | permission | android.permission.CAMERA | DNI/selfie local
CONFIRMED_USED | AndroidManifest | resources | in_app_update | https://play.google.com/store | integración Play Store
CONFIRMED_USED | gender_select.dart AOT | 0x5bfdac-0x5bfdfc | Genero options | Femenino=1 / Masculino=2 / nodefinido=3 | enum enviado a sexosoc
CONFIRMED_USED | estado_civil_select.dart AOT | 0x5b268c-0x5b275c | EstadoCivil options | Soltero/a=1 ... Otro=7 | enum enviado a estcivil
CONFIRMED_USED | pep_select.dart AOT | 0x5c5cd4 / 0x5c5d2c | PepSelect | Sí=1 / No=0 | radio entero
CONFIRMED_USED | uif_selecrt.dart AOT | 0x5c722c / 0x5c7284 | UifSelect | Sí=1 / No=0 | radio entero
CONFIRMED_USED | website api.js | lines 476-477 | loadOfficialAdjudicationsForPeriod | q={"related_project":"ADJUDI","issue_summary":"01/MM/YYYY"} | consulta web por período, ausente del APK
CONFIRMED_USED | website catalog-api.js | lines 11-22 | PLAN_COLUMNS | descsart | contradice descart del APK
INDIRECT_REFERENCE | data/resources.json | line 104 | resource link | https://artemis.clubsanjorge.com.ar/6/assets/Terminos_y_Condiciones.pdf | PDF estático; no descargado
DISCARDED | libflutter.so/runtime/dependencies | varios | generic code | authorization / token / graphql / select / insert / update / delete / websocket | strings genéricas sin call site Artemis
DISCARDED | UTF-16/Base64 searches | no hit de negocio adicional | static scan | cadenas codificadas/ofuscadas | no produjeron hosts o rutas Artemis adicionales
